aktuelBasinc,denizSicaklik,denizeIndirgenmisBasinc,gorus,hadiseKodu,istNo,kapalilik,karYukseklik,nem,rasatMetar,rasatSinoptik,rasatTaf,ruzgarHiz,ruzgarYon,sicaklik,veriZamani,yagis00Now,yagis10Dk,yagis12Saat,yagis1Saat,yagis24Saat,yagis6Saat,denizVeriZamani
823.6,-9999,1008.2,26490,CB,17097,-9999,-9999,94,-9999,-9999,-9999,3.24,347,14,2024-07-17T22:48:00.000Z,11.1,0,11.1,0,11.1,5.6,2024-07-17T22:48:00.000Z
834.6,-9999,1003.3,-9999,CB,17099,-9999,-9999,71,-9999,-9999,-9999,0,0,18,2024-07-17T22:49:00.000Z,0.77,0,0.77,0,0.77,0.77,2024-07-17T06:00:00.000Z
914.8,-9999,1005.7,35530,Y,17100,-9999,-9999,59,-9999,-9999,-9999,2.8800000000000003,278,23.5,2024-07-17T22:49:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1010.4,24.4,1011,48570,A,17112,-9999,-9999,56,-9999,-9999,-9999,4.32,7,28.5,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
999.5,-9999,1010.6,20000,A,17116,0,-9999,58,-9999,-9999,-9999,2.52,295,25.3,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1012.7,-9999,1013.1,-9999,A,17119,-9999,-9999,81,-9999,-9999,-9999,4.680000000000001,15,25.6,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
950.1,-9999,1009.1,-9999,A,17120,-9999,-9999,58,-9999,-9999,-9999,0.7200000000000001,215,22.5,2024-07-17T22:50:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
922.1,-9999,1008.6,-9999,A,17126,-9999,-9999,62,-9999,-9999,-9999,5.04,243,21.7,2024-07-17T22:47:00.000Z,0,0,0,0,0,0,2024-07-17T22:47:00.000Z
911.5,-9999,1008,20000,A,17130,0,-9999,72,-9999,-9999,-9999,0,0,20,2024-07-17T22:48:00.000Z,0.96,0,0.86,0,0.96,0,2024-07-17T06:00:00.000Z
925.8,-9999,1006.7,40060,A,17135,-9999,-9999,50,-9999,-9999,-9999,6.84,47,23.2,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
869.2,-9999,1007.9,23130,A,17140,-9999,-9999,99,-9999,-9999,-9999,0,0,17.2,2024-07-17T22:48:00.000Z,34.4,0,34.4,0,34.4,0,2024-07-17T06:00:00.000Z
904.6,-9999,1008.3,-9999,A,17155,-9999,-9999,61,-9999,-9999,-9999,3.9600000000000004,274,21.4,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
899,-9999,1007.2,45400,A,17160,-9999,-9999,64,-9999,-9999,-9999,7.2,9,19.6,2024-07-17T22:48:00.000Z,0.79,0,0.4,0,0.79,0,2024-07-17T06:00:00.000Z
897.5,-9999,999.3,-9999,CB,17165,-9999,-9999,37,-9999,-9999,-9999,7.5600000000000005,352,26.5,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
830.2,-9999,1000.1,-9999,CB,17172,-9999,-9999,47,-9999,-9999,-9999,4.32,133,20.7,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T22:48:00.000Z
1000.8,-9999,1008.6,19210,CB,17186,-9999,-9999,43,-9999,-9999,-9999,7.920000000000001,59,31.5,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
908.6,-9999,1005.5,-9999,A,17188,-9999,-9999,58,-9999,-9999,-9999,0.36000000000000004,308,22.1,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T22:48:00.000Z
